,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,created_at,retweets,replies,likes,quote_count,place_id,author_id,username,author_followers,author_tweets,author_description,author_location,city_name,object,country,UserPlase_longitude,UserPlase_latitude,UserPlase_sub_longitude,UserPlase_sub_latitude,code_nation,Tokyo_code,Tokyo_estimete_code,Geo_Flag_multi
18,18,18,559583,1332,I'mat7-8番線ホームin立川市東京都https://t.co/Piwd2UCVik,2022-07-17_12:54:47,0.0,0.0,0.0,0,e9d13ad4ff9f02c1,108829035,kazuki10soccer,1279.0,121538,バスや電車の乗車記録 ／チェックイン多い／⚽サッカー垢→@soccer14kazuki,相模大野,東京 立川市,city,日本,139.352224,35.683008,139.446091,35.745344,5339,533942,533942,2
31,31,31,56831,350,今日はここから。いやぁ、思ったより風が通ってて、それ程不快じゃないかも。#fctokyo#tokyo#FC東京@味の素スタジアム-forFCTokyovsAvispaFukuokain調布市東京都https://t.co/LMlKjggBh2,2022-07-02_16:58:41,0.0,0.0,2.0,0,8ffa995231a47059,103263282,fctsapo,884.0,121176,⚽️FC東京と🐈黒ウィズと猫好きです。よろしくです。約１０年間、一緒に生きてくれた猫の「タロウさん（写真のコイツ）」が天国へ旅立ってしまい、現在のところ猫ロスです。ＪリーグのＦＣ東京は1998年の東京ガス時代から応援してます。（当時、近くの北区西が丘でよく試合してたから、よくチャリで見に行ったのがきっかけです）,東京 足立区,東京 調布市,city,日本,139.516831,35.632839,139.593283,35.688169,5339,533934,533934,2
41,41,41,228317,1138,I'matはま寿司蒲田駅西口店in大田区東京都https://t.co/z5TRa82G9x,2022-07-07_17:54:07,0.0,0.0,0.0,0,1df8c91136c4c140,100756717,dragonkomat,534.0,149483,ほぼ組込系のIT技術者。相互Fうれしいな。蒲田/C#/.NET/自作PC/電子工作/Renesasマイコン/組込Linux/FPGA/プチ乗り鉄/Minecraft(JE)/ポケ森/ぷよクエ(ハーベルの塔)/MJモバイル/PSO2(S4)/エロ漫画/おっぱい,東京都大田区,東京 大田区,city,日本,139.652804,35.520696,139.826225,35.613092,5339,533925,533925,2
47,47,47,185299,131,I'matShibauraInstituteofTechnologyToyosuCampusin江東区東京都https://t.co/g72zClVcXr,2022-07-06_11:59:08,0.0,0.0,0.0,0,4c1c4868f96634ed,71030715,Rezagrats,241.0,64980,ある特定の人への盲目的な愛情表現型。個人的な愛情欲求が高まり、それが満足できないので、かえって積極的なアプローチも、受動的奉仕もできない。自分を無価値に感じる孤独な意志不定型。過去のものは全部意味がなく、未来へ希望があってもうまくいかないで、一人であせる。社会や理想をあきらめ放浪を好む。,Tokyo,東京 江東区,city,日本,139.771307,35.582057,139.849007,35.708066,5339,533926,533926,2
205,205,205,738480,1321,I'matNewDaysin千代田区東京都https://t.co/XVXXiDmQgo,2022-07-22_19:54:04,0.0,0.0,0.0,0,28b9063fdce43645,867423907,a3_gy,1607.0,659595,うるさい口悪い性格悪い,Fuchu Tokyo,東京 千代田区,city,日本,139.729893,35.668551,139.782836,35.705218,5339,533945,533945,2
229,229,229,576825,457,3月に出来た台湾料理屋さん、台湾で食べた牛肉麺と同じ味してウワァ…ってなった。カウンターメインだから1人で入りやすいし店内BGM全部台湾出身のアーティストの曲だし徹底していた。ぴあアリーナ行く方は中華街まで足を伸ばしてぜひ@886食堂in横浜市神奈川県https://t.co/lBmItFIY5H,2022-07-18_01:50:38,24.0,1.0,251.0,0,0d8054846be7f7be,4721903354,e_e_li_c_a,12415.0,132315,新しい世界の始まり @Todak_Todakk,恍惚境,神奈 横浜市 中区,city,日本,139.621822003118,35.3997339561372,139.69128299031,35.4537692971605,5339,533904,533904,3
253,253,253,454844,373,I'mat関東運輸局東京運輸支局in品川区東京都https://t.co/lYE0uIunRI,2022-07-14_10:57:05,0.0,0.0,0.0,0,4ad3383e25ac98d9,1235433967416832003,shakna_,143.0,38808,整備不良とボコボコマンジュウガニに乗ってます 他はオブジェです,横浜市,東京 品川区,city,日本,139.695191,35.584544,139.774255,35.641576,5339,533935,533935,2
265,265,265,942605,33,こんにちは😊池袋からひと駅の要町にある綺麗になれるレッスンをしているアルビオン体験型化粧品専門店の清水屋です☘️スタンプカードの期限をご確認下さい#gooblog,2022-07-28_21:59:49,0.0,0.0,0.0,0,7efb0fd5276fdda5,244362203,cosme_432ya,60.0,2535,池袋からひと駅の要町にある、アルビオン体験型化粧品専門店の清水屋です。体験しながら綺麗になれるスキンケアレッスンやメイクレッスンをしています。ネットや雑誌に惑わされないパーソナルな綺麗をご案内します。,東京 豊島区千早1-12-24,東京 豊島区,city,日本,139.677525,35.712228,139.752663,35.745989,5339,533945,533945,2
273,273,273,518172,443,大崎市の名蓋川がヤバいよね💦仙台は大丈夫かい？,2022-07-16_07:56:58,0.0,0.0,1.0,0,1b0cfebe3424e14f,949936303189016577,8dXfgSb0bxZcxA2,80.0,9561,,日本,東京 世田谷区,city,日本,139.582428,35.590036,139.686603,35.682992,5339,533934,533934,2
283,283,283,560298,633,I'mat豊洲駅in江東区東京都https://t.co/GbglR0n3Rm,2022-07-17_13:57:29,0.0,0.0,0.0,0,4c1c4868f96634ed,2541244212,matuchama,622.0,476200,僕らで創ろう 虹の咲く世界を,とよはし→えびな,東京 江東区,city,日本,139.771307,35.582057,139.849007,35.708066,5339,533926,533926,2
